,geometry,file
0,"(-13239466.0, 4590615.0, -13225966.0, 4604115.0)",gridcell_0
1,"(-13225966.0, 4590615.0, -13212466.0, 4604115.0)",gridcell_1
2,"(-13212466.0, 4590615.0, -13198966.0, 4604115.0)",gridcell_2
3,"(-13198966.0, 4590615.0, -13185466.0, 4604115.0)",gridcell_3
4,"(-13185466.0, 4590615.0, -13171966.0, 4604115.0)",gridcell_4
5,"(-13171966.0, 4590615.0, -13158466.0, 4604115.0)",gridcell_5
6,"(-13158466.0, 4590615.0, -13144966.0, 4604115.0)",gridcell_6
7,"(-13144966.0, 4590615.0, -13131466.0, 4604115.0)",gridcell_7
8,"(-13131466.0, 4590615.0, -13117966.0, 4604115.0)",gridcell_8
9,"(-13117966.0, 4590615.0, -13104466.0, 4604115.0)",gridcell_9
10,"(-13104466.0, 4590615.0, -13090966.0, 4604115.0)",gridcell_10
11,"(-13090966.0, 4590615.0, -13077466.0, 4604115.0)",gridcell_11
12,"(-13077466.0, 4590615.0, -13063966.0, 4604115.0)",gridcell_12
13,"(-13063966.0, 4590615.0, -13050466.0, 4604115.0)",gridcell_13
14,"(-13050466.0, 4590615.0, -13036966.0, 4604115.0)",gridcell_14
15,"(-13036966.0, 4590615.0, -13023466.0, 4604115.0)",gridcell_15
16,"(-13023466.0, 4590615.0, -13009966.0, 4604115.0)",gridcell_16
17,"(-13009966.0, 4590615.0, -12996466.0, 4604115.0)",gridcell_17
18,"(-12996466.0, 4590615.0, -12982966.0, 4604115.0)",gridcell_18
19,"(-12982966.0, 4590615.0, -12969466.0, 4604115.0)",gridcell_19
20,"(-12969466.0, 4590615.0, -12955966.0, 4604115.0)",gridcell_20
21,"(-12955966.0, 4590615.0, -12942466.0, 4604115.0)",gridcell_21
22,"(-12942466.0, 4590615.0, -12928966.0, 4604115.0)",gridcell_22
23,"(-12928966.0, 4590615.0, -12915466.0, 4604115.0)",gridcell_23
24,"(-12915466.0, 4590615.0, -12901966.0, 4604115.0)",gridcell_24
25,"(-12901966.0, 4590615.0, -12888466.0, 4604115.0)",gridcell_25
26,"(-12888466.0, 4590615.0, -12874966.0, 4604115.0)",gridcell_26
27,"(-12874966.0, 4590615.0, -12861466.0, 4604115.0)",gridcell_27
28,"(-12861466.0, 4590615.0, -12847966.0, 4604115.0)",gridcell_28
29,"(-12847966.0, 4590615.0, -12834466.0, 4604115.0)",gridcell_29
30,"(-12834466.0, 4590615.0, -12820966.0, 4604115.0)",gridcell_30
31,"(-12820966.0, 4590615.0, -12807466.0, 4604115.0)",gridcell_31
32,"(-12807466.0, 4590615.0, -12793966.0, 4604115.0)",gridcell_32
33,"(-12793966.0, 4590615.0, -12780466.0, 4604115.0)",gridcell_33
34,"(-12780466.0, 4590615.0, -12766966.0, 4604115.0)",gridcell_34
35,"(-12766966.0, 4590615.0, -12753466.0, 4604115.0)",gridcell_35
36,"(-12753466.0, 4590615.0, -12739966.0, 4604115.0)",gridcell_36
37,"(-12739966.0, 4590615.0, -12726466.0, 4604115.0)",gridcell_37
38,"(-12726466.0, 4590615.0, -12712966.0, 4604115.0)",gridcell_38
39,"(-12712966.0, 4590615.0, -12699466.0, 4604115.0)",gridcell_39
40,"(-12699466.0, 4590615.0, -12685966.0, 4604115.0)",gridcell_40
41,"(-12685966.0, 4590615.0, -12672466.0, 4604115.0)",gridcell_41
42,"(-12672466.0, 4590615.0, -12658966.0, 4604115.0)",gridcell_42
43,"(-12658966.0, 4590615.0, -12645466.0, 4604115.0)",gridcell_43
44,"(-12645466.0, 4590615.0, -12631966.0, 4604115.0)",gridcell_44
45,"(-12631966.0, 4590615.0, -12618466.0, 4604115.0)",gridcell_45
