geometry,file
"BoundingBox(left=-12834466.0, bottom=4617615.0, right=-12820966.0, top=4631115.0)",gridcell_2808
"BoundingBox(left=-12820966.0, bottom=4617615.0, right=-12807466.0, top=4631115.0)",gridcell_2809
"BoundingBox(left=-12807466.0, bottom=4617615.0, right=-12793966.0, top=4631115.0)",gridcell_2810
"BoundingBox(left=-12793966.0, bottom=4617615.0, right=-12780466.0, top=4631115.0)",gridcell_2811
"BoundingBox(left=-12780466.0, bottom=4617615.0, right=-12766966.0, top=4631115.0)",gridcell_2812
"BoundingBox(left=-12766966.0, bottom=4617615.0, right=-12753466.0, top=4631115.0)",gridcell_2813
"BoundingBox(left=-12753466.0, bottom=4617615.0, right=-12739966.0, top=4631115.0)",gridcell_2814
"BoundingBox(left=-12847966.0, bottom=4604115.0, right=-12834466.0, top=4617615.0)",gridcell_2815
"BoundingBox(left=-12834466.0, bottom=4604115.0, right=-12820966.0, top=4617615.0)",gridcell_2816
"BoundingBox(left=-12820966.0, bottom=4604115.0, right=-12807466.0, top=4617615.0)",gridcell_2817
"BoundingBox(left=-12807466.0, bottom=4604115.0, right=-12793966.0, top=4617615.0)",gridcell_2818
"BoundingBox(left=-12793966.0, bottom=4604115.0, right=-12780466.0, top=4617615.0)",gridcell_2819
"BoundingBox(left=-12780466.0, bottom=4604115.0, right=-12766966.0, top=4617615.0)",gridcell_2820
"BoundingBox(left=-12766966.0, bottom=4604115.0, right=-12753466.0, top=4617615.0)",gridcell_2821
"BoundingBox(left=-12753466.0, bottom=4604115.0, right=-12739966.0, top=4617615.0)",gridcell_2822
"BoundingBox(left=-12861466.0, bottom=4590615.0, right=-12847966.0, top=4604115.0)",gridcell_28
"BoundingBox(left=-12847966.0, bottom=4590615.0, right=-12834466.0, top=4604115.0)",gridcell_29
"BoundingBox(left=-12834466.0, bottom=4590615.0, right=-12820966.0, top=4604115.0)",gridcell_30
"BoundingBox(left=-12820966.0, bottom=4590615.0, right=-12807466.0, top=4604115.0)",gridcell_31
"BoundingBox(left=-12807466.0, bottom=4590615.0, right=-12793966.0, top=4604115.0)",gridcell_32
"BoundingBox(left=-12793966.0, bottom=4590615.0, right=-12780466.0, top=4604115.0)",gridcell_33
"BoundingBox(left=-12780466.0, bottom=4590615.0, right=-12766966.0, top=4604115.0)",gridcell_34
"BoundingBox(left=-12766966.0, bottom=4590615.0, right=-12753466.0, top=4604115.0)",gridcell_35
"BoundingBox(left=-12753466.0, bottom=4590615.0, right=-12739966.0, top=4604115.0)",gridcell_36
"BoundingBox(left=-12739966.0, bottom=4590615.0, right=-12726466.0, top=4604115.0)",gridcell_37
"BoundingBox(left=-13212466.0, bottom=4577115.0, right=-13198966.0, top=4590615.0)",gridcell_54
"BoundingBox(left=-13198966.0, bottom=4577115.0, right=-13185466.0, top=4590615.0)",gridcell_55
"BoundingBox(left=-13185466.0, bottom=4577115.0, right=-13171966.0, top=4590615.0)",gridcell_56
"BoundingBox(left=-13171966.0, bottom=4577115.0, right=-13158466.0, top=4590615.0)",gridcell_57
"BoundingBox(left=-12861466.0, bottom=4577115.0, right=-12847966.0, top=4590615.0)",gridcell_80
"BoundingBox(left=-12847966.0, bottom=4577115.0, right=-12834466.0, top=4590615.0)",gridcell_81
"BoundingBox(left=-12834466.0, bottom=4577115.0, right=-12820966.0, top=4590615.0)",gridcell_82
"BoundingBox(left=-12820966.0, bottom=4577115.0, right=-12807466.0, top=4590615.0)",gridcell_83
"BoundingBox(left=-12807466.0, bottom=4577115.0, right=-12793966.0, top=4590615.0)",gridcell_84
"BoundingBox(left=-12793966.0, bottom=4577115.0, right=-12780466.0, top=4590615.0)",gridcell_85
"BoundingBox(left=-12780466.0, bottom=4577115.0, right=-12766966.0, top=4590615.0)",gridcell_86
"BoundingBox(left=-12766966.0, bottom=4577115.0, right=-12753466.0, top=4590615.0)",gridcell_87
"BoundingBox(left=-12753466.0, bottom=4577115.0, right=-12739966.0, top=4590615.0)",gridcell_88
"BoundingBox(left=-12739966.0, bottom=4577115.0, right=-12726466.0, top=4590615.0)",gridcell_89
