geometry,file
"BoundingBox(left=-13144966.0, bottom=4523115.0, right=-13131466.0, top=4536615.0)",gridcell_267
"BoundingBox(left=-13131466.0, bottom=4523115.0, right=-13117966.0, top=4536615.0)",gridcell_268
"BoundingBox(left=-13117966.0, bottom=4523115.0, right=-13104466.0, top=4536615.0)",gridcell_269
"BoundingBox(left=-13104466.0, bottom=4523115.0, right=-13090966.0, top=4536615.0)",gridcell_270
"BoundingBox(left=-13090966.0, bottom=4523115.0, right=-13077466.0, top=4536615.0)",gridcell_271
"BoundingBox(left=-13077466.0, bottom=4523115.0, right=-13063966.0, top=4536615.0)",gridcell_272
"BoundingBox(left=-13063966.0, bottom=4523115.0, right=-13050466.0, top=4536615.0)",gridcell_273
"BoundingBox(left=-13050466.0, bottom=4523115.0, right=-13036966.0, top=4536615.0)",gridcell_274
"BoundingBox(left=-13036966.0, bottom=4523115.0, right=-13023466.0, top=4536615.0)",gridcell_275
"BoundingBox(left=-13023466.0, bottom=4523115.0, right=-13009966.0, top=4536615.0)",gridcell_276
"BoundingBox(left=-13009966.0, bottom=4523115.0, right=-12996466.0, top=4536615.0)",gridcell_277
"BoundingBox(left=-12942466.0, bottom=4523115.0, right=-12928966.0, top=4536615.0)",gridcell_282
"BoundingBox(left=-12928966.0, bottom=4523115.0, right=-12915466.0, top=4536615.0)",gridcell_283
"BoundingBox(left=-12915466.0, bottom=4523115.0, right=-12901966.0, top=4536615.0)",gridcell_284
"BoundingBox(left=-12901966.0, bottom=4523115.0, right=-12888466.0, top=4536615.0)",gridcell_285
"BoundingBox(left=-13158466.0, bottom=4509615.0, right=-13144966.0, top=4523115.0)",gridcell_318
"BoundingBox(left=-13144966.0, bottom=4509615.0, right=-13131466.0, top=4523115.0)",gridcell_319
"BoundingBox(left=-13131466.0, bottom=4509615.0, right=-13117966.0, top=4523115.0)",gridcell_320
"BoundingBox(left=-13117966.0, bottom=4509615.0, right=-13104466.0, top=4523115.0)",gridcell_321
"BoundingBox(left=-13104466.0, bottom=4509615.0, right=-13090966.0, top=4523115.0)",gridcell_322
"BoundingBox(left=-13090966.0, bottom=4509615.0, right=-13077466.0, top=4523115.0)",gridcell_323
"BoundingBox(left=-13077466.0, bottom=4509615.0, right=-13063966.0, top=4523115.0)",gridcell_324
"BoundingBox(left=-13063966.0, bottom=4509615.0, right=-13050466.0, top=4523115.0)",gridcell_325
"BoundingBox(left=-13050466.0, bottom=4509615.0, right=-13036966.0, top=4523115.0)",gridcell_326
"BoundingBox(left=-13036966.0, bottom=4509615.0, right=-13023466.0, top=4523115.0)",gridcell_327
"BoundingBox(left=-13023466.0, bottom=4509615.0, right=-13009966.0, top=4523115.0)",gridcell_328
"BoundingBox(left=-13009966.0, bottom=4509615.0, right=-12996466.0, top=4523115.0)",gridcell_329
"BoundingBox(left=-12996466.0, bottom=4509615.0, right=-12982966.0, top=4523115.0)",gridcell_330
"BoundingBox(left=-12982966.0, bottom=4509615.0, right=-12969466.0, top=4523115.0)",gridcell_331
"BoundingBox(left=-12969466.0, bottom=4509615.0, right=-12955966.0, top=4523115.0)",gridcell_332
"BoundingBox(left=-12955966.0, bottom=4509615.0, right=-12942466.0, top=4523115.0)",gridcell_333
"BoundingBox(left=-12942466.0, bottom=4509615.0, right=-12928966.0, top=4523115.0)",gridcell_334
"BoundingBox(left=-12928966.0, bottom=4509615.0, right=-12915466.0, top=4523115.0)",gridcell_335
"BoundingBox(left=-12915466.0, bottom=4509615.0, right=-12901966.0, top=4523115.0)",gridcell_336
"BoundingBox(left=-12901966.0, bottom=4509615.0, right=-12888466.0, top=4523115.0)",gridcell_337
