geometry,file,file_collins
"BoundingBox(left=-13225966.0, bottom=4523115.0, right=-13212466.0, top=4536615.0)",gridcell_261,prediction_raster_naip_2010_0000000000-0000013500
"BoundingBox(left=-13212466.0, bottom=4523115.0, right=-13198966.0, top=4536615.0)",gridcell_262,prediction_raster_naip_2010_0000000000-0000027000
"BoundingBox(left=-13198966.0, bottom=4523115.0, right=-13185466.0, top=4536615.0)",gridcell_263,prediction_raster_naip_2010_0000000000-0000040500
"BoundingBox(left=-13185466.0, bottom=4523115.0, right=-13171966.0, top=4536615.0)",gridcell_264,prediction_raster_naip_2010_0000000000-0000054000
"BoundingBox(left=-13171966.0, bottom=4523115.0, right=-13158466.0, top=4536615.0)",gridcell_265,prediction_raster_naip_2010_0000000000-0000067500
"BoundingBox(left=-13225966.0, bottom=4509615.0, right=-13212466.0, top=4523115.0)",gridcell_313,prediction_raster_naip_2010_0000013500-0000013500
"BoundingBox(left=-13212466.0, bottom=4509615.0, right=-13198966.0, top=4523115.0)",gridcell_314,prediction_raster_naip_2010_0000013500-0000027000
"BoundingBox(left=-13198966.0, bottom=4509615.0, right=-13185466.0, top=4523115.0)",gridcell_315,prediction_raster_naip_2010_0000013500-0000040500
"BoundingBox(left=-13185466.0, bottom=4509615.0, right=-13171966.0, top=4523115.0)",gridcell_316,prediction_raster_naip_2010_0000013500-0000054000
"BoundingBox(left=-13171966.0, bottom=4509615.0, right=-13158466.0, top=4523115.0)",gridcell_317,prediction_raster_naip_2010_0000013500-0000067500
"BoundingBox(left=-13225966.0, bottom=4496115.0, right=-13212466.0, top=4509615.0)",gridcell_365,prediction_raster_naip_2010_0000027000-0000013500
"BoundingBox(left=-13212466.0, bottom=4496115.0, right=-13198966.0, top=4509615.0)",gridcell_366,prediction_raster_naip_2010_0000027000-0000027000
"BoundingBox(left=-13198966.0, bottom=4496115.0, right=-13185466.0, top=4509615.0)",gridcell_367,prediction_raster_naip_2010_0000027000-0000040500
"BoundingBox(left=-13185466.0, bottom=4496115.0, right=-13171966.0, top=4509615.0)",gridcell_368,prediction_raster_naip_2010_0000027000-0000054000
"BoundingBox(left=-13171966.0, bottom=4496115.0, right=-13158466.0, top=4509615.0)",gridcell_369,prediction_raster_naip_2010_0000027000-0000067500
"BoundingBox(left=-13225966.0, bottom=4482615.0, right=-13212466.0, top=4496115.0)",gridcell_417,prediction_raster_naip_2010_0000040500-0000013500
"BoundingBox(left=-13212466.0, bottom=4482615.0, right=-13198966.0, top=4496115.0)",gridcell_418,prediction_raster_naip_2010_0000040500-0000027000
"BoundingBox(left=-13198966.0, bottom=4482615.0, right=-13185466.0, top=4496115.0)",gridcell_419,prediction_raster_naip_2010_0000040500-0000040500
